views,likes,dislikes,comment_count
155285,4719,64,207
93829,2229,36,469
31639,586,42,67
37524,126,77,45
358358,9211,731,1385
158173,6587,68,611
45200,930,67,116
286577,9606,248,1196
315177,4212,171,259
225044,2265,775,868
399491,6240,326,287
231104,12862,347,1824
5813,33,3,0
18317,1322,34,196
246134,5847,337,544
32483,23,10,135
113462,4566,142,757
311621,2425,145,465
94229,217,177,0
571588,386,47,113
272604,9576,260,1619
42336,4293,89,428
13750,305,10,39
6684,18,57,54
128523,4170,148,307
102639,3218,1085,475
20539417,840642,47715,124236
238413,732,92,618
41029,296,32,33
805124,44513,1756,3929
55140,136,14,46
120817,2896,210,594
58469,828,253,271
360223,15873,16033,7803
1775997,37124,1980,2695
6685,11,35,18
200060,4548,52,258
346924,4657,1838,734
12987863,216319,17751,12133
1981757,103407,1419,12354
1015189,2133,2483,1465
3653,47,3,25
2255529,48000,2970,8507
1155622,16060,883,1018
9892,250,7,19
5626588,408618,6121,28196
85643,170,45,0
212310,7589,227,463
180284,6073,125,512
301423,8409,349,952
835573,27068,2021,5165
3686343,130373,3628,6694
297840,10429,378,990
2922523,119348,1161,6736
595415,8795,450,1022
3643894,125205,8702,5687
9833,73,21,62
7563254,58209,10859,7120
54341,487,67,64
357078,19783,610,1732
1888789,44007,1997,1794
168446,374,48,191
263656,2556,5584,2377
515525,24115,1249,1860
39082222,1721383,23137,90352
1080230,2540,887,1040
873362,36365,594,2630
366892,9052,2993,3088
48372,382,11,29
216766,7108,95,319
81086,3085,150,250
3931,17,0,2
1072970,102199,1469,8943
56372,2332,191,261
69786,453,26,19
204298,9321,386,993
101233,3128,51,93
1126501,48219,444,1083
2498463,75023,1925,3483
224608,14843,180,1004
45965,2284,35,17
317304,17023,84,939
1996082,18992,1049,1322
44939,1576,110,1021
118316,3823,294,404
2244971,101831,12677,11863
2844271,60500,3667,8122
99019,2404,40,135
3591699,212004,3528,20418
1137392,26180,992,1055
147193,5405,151,395
482334,55001,184,3027
269509,10801,158,653
3741812,314872,2647,12114
1185773,45513,1378,4794
178313,9072,98,656
2185367,96850,1130,8216
366814,4099,172,449
797436,29425,585,1497
1646057,53901,1566,5963
271685,3330,854,0
3505996,5934,3400,5162
194946,9278,137,2803
392482,5659,2432,1311
1882868,88072,1219,6083
226317,11702,125,471
232083,14766,408,1107
144694,1012,588,288
908489,12261,339,1600
180606,2400,159,239
308352,15765,399,984
193832,1351,25,128
41251,1561,29,96
524911,7822,185,403
467804,19962,268,953
77302,3756,123,222
304700,12347,577,756
1440724,36686,6598,9637
878560,12961,1468,1788
155533,4621,233,451
161231,7803,169,1479
379918,4472,4507,2066
90454,211,65,59
157037,7800,96,326
895507,38734,550,1270
134372,7979,80,310
55901,477,132,105
207678,10372,69,554
3979891,151850,2378,8079
387902,24442,414,1346
1803724,57470,5261,7483
3621389,141681,1289,8127
1012513,20036,6510,5153
224426,17784,225,2762
1147169,31832,1902,1498
1362421,8970,4131,3857
593969,24672,735,5173
2916453,93039,1765,6493
533940,12633,597,1828
1559003,29898,884,1838
2900560,37329,34908,10768
760341,13283,317,433
1961066,142740,773,8471
1258937,114661,2509,11298
133212,6260,202,528
235655,2665,109,336
208117,21334,255,1229
229515,9435,90,759
1496471,43974,2045,9442
211596,3802,78,232
2223948,76806,1169,4176
5531707,72727,3362,14816
623803,17286,511,6126
1610930,85208,916,5001
42571,3557,147,693
507753,35595,483,2176
237107,2207,138,261
1825705,77531,4156,12025
1251180,32186,455,4166
79863,259,131,47
50934,2793,104,295
21740,979,5,93
574778,7517,154,515
153220,660,320,479
845763,17929,502,2325
42769,175,117,100
177648,6932,786,697
225337,9576,587,2282
17901,2325,50,429
290124,23472,483,2308
15232,84,11,20
1291560,152975,650,8490
28895,309,81,76
520049,28187,452,1607
10838,7,42,10
281868,1546,245,885
2325233,91111,7543,21450
196434,6305,88,762
936075,21642,1202,2877
52607,3835,32,351
91701,5930,70,743
17129,455,18,101
5086221,137819,10468,18395
860406,20489,2507,3083
2394,19,0,2
153583,6989,92,845
587752,11891,1777,6920
128892,1935,68,288
98396,93,19,46
90641,2349,409,1246
62185,4369,82,867
30576,1741,27,283
33887,1350,41,69
12494,252,3,91
338317,11251,120,680
232532,11933,231,607
100472,5140,40,560
2814427,194199,3757,12409
414929,8895,636,2594
827546,15887,1299,3460
440163,17988,211,5752
141129,8451,239,349
34221,1445,593,903
4576001,172379,6952,9440
282854,12958,664,1060
30341,730,22,34
207712,5447,143,1191
135459,9381,29,403
214305,4064,56,430
31910,1699,13,142
265822,9045,346,4701
11769,127,13,0
2584165,147110,2305,19313
175760,15482,138,2164
220189,2338,565,1922
157522,8012,85,286
84091,2892,95,122
1037561,716,117,223
174568,4934,65,208
10457,54,4,2
212992,7049,209,365
31076,1814,36,523
1154280,27632,1096,2547
984836,5855,530,3171
549044,16946,2438,1626
46545,5320,37,1596
32347,145,44,245
319797,17086,164,1356
62620,1170,92,131
372775,21214,119,3433
2567518,18425,2950,2776
120697,2376,38,492
289923,8480,321,2011
209442,19069,289,836
44320,130,77,42
727427,9459,1446,3292
99999,143,12,32
85742,278,128,174
20529,318,11,41
237111,2323,786,636
104295,423,45,551
409445,6345,331,299
365006,9431,741,1278
174023,7010,72,632
37575,1679,21,82
248499,13613,359,1870
327935,4345,175,261
59466,39,14,34
403564,2581,159,477
264129,6161,356,579
36859,23,10,135
22101,83,74,61
133296,5012,159,737
297046,9905,266,1551
28147,1801,48,263
46308,4511,91,442
33513,607,42,70
102878,225,182,0
136066,4355,158,318
100120,154,15,48
42472,303,32,36
863232,46439,1828,3708
22702386,869304,50018,123227
6904,18,58,53
1338,4,0,0
58604,828,253,305
121979,2901,210,595
215222,4720,55,264
1826373,37692,2026,2759
1118,6,0,2
251684,769,95,748
6355501,424406,6451,28735
381688,16467,18775,8352
6743,11,35,16
687,10,2,5
190543,6369,137,518
2083918,106243,1461,12707
350422,4735,1839,744
8088,280,4,145
3839,48,3,25
2328148,48904,3008,8459
10309,254,7,19
15432746,233172,19513,12709
92327,182,45,0
9036,427,14,79
216234,7715,230,470
5119,20,1,3
4435991,139054,4059,6887
1249702,1988,299,1554
300601,10497,382,991
616371,8926,461,1026
3031863,121285,1186,6852
10542,77,22,65
3790933,127412,8857,5449
1167646,2691,916,1122
849499,27121,2042,5181
2398093,48511,2221,1843
7727696,59673,11124,7350
383308,20371,627,1732
5366,19,0,2
272466,2586,5609,2323
58135,519,69,65
43449654,1788960,24548,93428
525210,24412,1259,1847
390261,9474,3091,3207
122772,3912,298,403
46260,2286,35,17
243412,7782,104,340
465893,111,14,59
59168,2412,193,274
82713,3124,151,250
1233722,115781,1615,9706
71089,460,27,20
127404,3869,56,111
339256,17267,85,948
226659,9725,400,1027
241314,15071,186,1011
2624056,75930,1949,3555
1354030,57838,512,1257
45236,1581,110,911
172587,379,49,199
2122489,20085,1104,1321
2291077,102726,12794,11941
935744,37129,622,2673
1262652,28119,1047,1113
49915,386,11,24
505794,55628,192,3033
3680540,216119,3570,20544
1603415,65594,700,12169
2585193,40775,3498,8834
4722974,119107,3782,6651
6659676,223821,4515,11792
804363,39816,6304,10586
2336528,6729,167,1286
501670,28309,422,4084
334497,12594,622,588
499946,135292,3528,12094
1164713,88541,742,6750
2935330,281095,2679,16009
397983,5666,1682,1306
3483755,789750,2840,72376
505886,23207,5375,7030
178977,14355,87,429
406769,6593,397,1253
1117997,50946,760,5525
1117510,61075,463,64506
677167,31301,747,1690
463992,25840,509,3708
228846,1326,501,1166
1276326,70960,811,4293
340348,5474,372,653
1035804,18816,737,1133
270859,11492,576,1715
218153,5155,308,655
177348,18022,507,3143
655161,21013,2563,2671
2128788,61484,7800,9079
1693011,84669,810,14183
816696,29135,1267,8648
1223069,23939,8061,6518
5938,108,3,21
531746,32749,642,1731
76491,3849,95,217
769769,6133,1124,2837
1828753,10814,5339,4793
1884763,135815,3303,12752
284037,9821,397,708
1333817,35950,2080,1611
39504,1389,92,696
81947,8184,146,922
673010,58902,786,2901
88644,5172,453,976
420033,14353,147,1071
326709,5340,207,323
736829,18708,794,6460
3300683,98182,1914,6794
363095,3657,146,389
516456,21523,1107,2972
3495474,41976,42467,12311
2167114,151277,862,8848
55460,3871,96,428
1716572,46900,2404,10160
328417,5188,129,299
325333,2750,307,383
116732,5023,314,1086
82048,3539,144,347
59190,2001,86,527
113926,1026,37,333
82415,4468,70,354
1843479,91834,1030,5441
76475,4208,44,284
100908,314,190,80
30569,1184,14,130
360001,28058,385,942
615712,38795,594,2446
23429,365,10,188
26922,111,14,38
69199,4237,15,220
1351046,33595,496,4344
647820,8122,168,530
276231,30255,412,2293
6582,174,8,22
52292,204,148,120
253763,10327,691,2552
12831,86,5,35
38818,370,112,95
19800,10,102,17
322642,25373,537,2414
1383687,159600,682,8793
77486,5189,60,3194
157973,681,337,546
65197,4287,36,396
575434,29299,514,1749
24416,2738,83,479
378984,7464,299,359
101742,6282,89,797
54697,1693,65,79
2400741,92831,7687,21714
962308,22111,1219,2928
22383,921,26,78
914680,21174,2586,3064
5392036,142006,10797,18930
28169,1623,19,113
162006,7229,97,886
650799,12694,1946,6656
298744,5906,444,1502
12858,37,1,5
34968,1834,27,317
137518,1990,70,304
66349,4544,87,887
356406,11637,120,699
3228511,204840,3983,12937
113820,5562,50,593
244538,12392,236,598
80687,197,30,53
492640,10058,744,2481
167484,10718,37,440
863397,16213,1337,2913
467678,18528,219,5726
340068,14253,719,1174
16017,206,16,0
4737269,175762,7017,9557
39122,1572,629,949
214925,5591,145,1281
240124,4288,58,438
310812,10079,398,5112
34262,2023,71,299
143522,8593,241,349
189155,16242,141,2204
224207,2366,570,1919
2656622,149105,2339,19644
39490,1932,14,159
952966,28677,3540,2497
1194113,28200,1111,2582
327639,17313,165,1401
1014512,5954,541,3174
32977,146,45,232
396661,21839,127,3337
130950,2448,39,503
96267,3194,105,129
86671,280,128,174
296542,8575,328,2018
2630503,18741,2999,2810
33738,1933,36,491
426359,6418,333,344
50473,5682,39,1634
759217,9848,1511,3477
68613,1288,101,142
10899,58,4,5
181539,7193,74,642
108991,430,45,556
186961,5065,68,222
83497,410,28,76
3591,92,4,14
47069,131,77,41
442407,2742,172,473
368795,9519,746,1273
277792,6408,371,591
22221,83,74,63
142010,5190,163,720
256761,13909,374,1730
313133,10118,270,1584
66800,3578,75,351
48179,4603,92,446
336398,4447,179,265
42422,243,8,58
48864,1941,22,86
34460,620,43,65
64932,39,14,30
106641,230,183,0
141308,4455,169,327
43426,309,33,47
900779,47602,1876,3796
6993,20,58,53
24578152,891282,51977,125444
1431,4,0,0
7095077,438470,6754,29178
58689,831,253,306
122634,2908,210,595
256760,782,98,793
8993,292,5,162
6801,11,35,16
1204,7,0,2
227162,4836,60,268
1856410,38114,2049,2768
704,10,2,5
393265,16805,19201,8480
352770,4782,1838,741
3914,48,3,24
9747,447,14,81
10541,261,7,19
17679753,248909,21039,13058
2374251,49509,3038,8545
5159763,146732,4515,7048
194930,6466,139,536
5318,20,1,3
218186,7773,230,443
1267977,2028,304,1586
629166,8985,463,1030
8041928,60434,11437,7545
3913682,129182,8991,5531
11156,86,22,74
312769,8665,360,966
2954882,52519,2453,1948
2720774,76529,1960,3599
403887,20780,643,1739
277614,2609,5622,2337
6247,22,0,2
6451949,150015,2976,26863
18558186,1002549,32178,59945
7797259,94545,8233,17122
1291361,16081,1368,2877
823285,89055,1565,7649
1593121,61135,10680,16283
366048,14742,1308,1948
133092,4168,141,266
8072982,174944,6413,9529
3252728,10779,282,1949
178325,1641,83,178
81759,5896,166,864
4340962,396790,11280,41890
646615,68813,1083,5977
8291139,254158,5437,11910
751525,77456,566,3164
803802,36813,619,5178
803168,35094,489,3320
1654828,109421,992,7924
185707,7018,57,347
582019,17558,1212,933
4716036,395289,3925,19741
33260,181,79,30
544230,17911,483,3045
523234,6762,2253,1754
187278,9402,472,1373
248793,29652,327,1371
26393,162,74,94
1666003,61821,1055,6597
438484,4629,236,474
123751,3583,283,345
336907,18768,177,603
364124,26993,210,1121
31816,215,39,62
50702,2718,145,98
5158539,926887,3814,79570
89852,5269,164,547
1248432,64410,569,66471
336404,1795,751,1495
172877,11271,75,407
57818,3032,76,191
686170,32999,654,4597
759465,33415,816,1735
53502,1747,87,374
20772,361,5,115
18346,544,28,20
67433,439,43,169
291603,6006,353,700
21007,433,11,35
1274705,88299,1183,3638
360308,23311,969,4191
44284,5183,25,422
176380,12369,367,1285
47358,1358,179,145
372468,13355,803,2119
82266,11788,93,1309
9445,381,22,35
379172,5794,244,360
304954,2981,70,126
1448352,76717,1017,4539
441164,36355,560,2482
46197,3794,254,889
756962,22854,2983,2902
625607,34952,705,1766
2003729,93297,986,15120
914063,31150,1471,9449
2242229,63341,8314,9293
50899,1520,120,864
384420,12145,504,787
127535,5146,125,275
578964,22898,1192,3391
112967,5896,524,1066
2312628,148859,3720,13940
1285629,24686,8404,6778
178887,19838,83,1055
63841,4226,114,481
1985134,11176,5614,3627
525327,16698,188,1212
1406451,37209,2146,1782
408821,3912,152,466
799694,19416,860,6617
3447230,100566,1959,6954
64813,3479,29,91
485602,32167,468,1004
92342,4797,74,373
595598,136072,333,6292
3631775,43038,44500,12476
2286953,156920,915,8454
386174,6074,138,304
128804,5369,336,1179
1836995,48570,2523,10096
125604,387,194,88
2002223,95909,1080,5624
84488,4493,48,291
120991,1060,42,377
674220,40478,613,2430
61066,68,3,7
25521,393,83,409
33164,1253,15,134
694375,8462,177,458
62257,2060,89,538
1408656,34417,506,3703
331642,21739,190,1628
274155,10765,750,2560
210266,3759,107,270
30873,119,16,40
54256,208,149,122
14190,89,5,36
92106,5791,67,3664
40326,383,113,64
20292,10,102,17
340649,26383,557,2167
1443934,163475,709,9111
38528,283,218,0
161057,686,338,541
71415,4483,39,420
293758,20134,193,918
596888,29736,523,1768
7544,1049,14,128
39363,1955,31,367
981376,22491,1233,2931
1975,4,0,0
68611,1899,74,82
111222,6724,96,855
2468267,94303,7802,21866
606481,13385,512,633
362775,6411,499,1750
961935,21757,2651,3084
25796,2842,84,502
169411,7443,101,973
5661444,145774,11064,19365
131762,150,23,79
728698,13623,2096,7015
34784,1863,21,126
187106,11363,39,489
1387,15,1,1
3903013,219847,4307,13620
368865,11889,127,705
139806,2007,70,303
68585,4630,91,932
11807,5,0,0
252084,12712,240,634
518064,10394,765,2465
388443,15160,763,1240
496031,18985,228,6004
220365,5694,148,1288
885011,16396,1363,2956
43009,2017,15,167
119765,5741,50,615
261429,4470,62,454
37533,2150,87,357
360433,10988,427,5212
42087,1671,653,872
107173,3477,109,137
4949674,180201,7042,9687
198789,16735,144,2314
146013,8719,243,349
3317,19,0,2
1384436,39121,4882,3029
21855,281,17,0
2744125,151426,2373,20039
13676,1172,18,169
1224268,28632,1126,2595
1042282,6029,549,3187
413662,22359,133,3393
227345,2390,577,1958
33434,147,45,224
35487,1999,36,514
87065,281,128,173
265799,14179,384,1727
333944,17486,167,1424
3841,97,4,14
11032,58,4,5
136837,2504,39,505
2688797,19042,3059,2689
52416,5873,41,1664
59959,2256,23,96
72940,1353,102,145
434036,6464,334,348
100168,514,31,88
301738,8634,332,2027
112077,438,46,572
195143,5171,69,239
789594,10203,1561,3551
472936,2867,185,467
47760,132,77,41
371683,9600,750,1282
188957,7394,75,680
22302,83,75,63
49451,4666,92,447
292891,6725,386,598
324024,10288,274,1586
147851,5319,171,739
343273,4503,182,266
48130,271,10,71
26448434,911883,53873,127481
73984,3676,78,353
67471,40,15,29
35125,627,43,64
108297,232,184,0
4707527,157931,2072,23205
2959054,415035,6703,30393
396346,11277,499,2140
1188326,25951,1115,2263
322818,14604,420,2014
29943556,1388751,54751,79828
21046,1308,62,206
195386,2544,186,384
1540436,125458,2469,9721
11072585,119371,10400,20757
101553,11324,118,2593
148223,1453,799,743
1905799,127150,1172,4255
1612055,18320,1968,3563
831968,3925,221,769
286288,6590,326,453
2280611,84882,2682,11245
8533826,180591,4104,32468
370302,12763,279,682
194110,8542,248,472
148145,7944,280,1192
242240,5045,516,445
240931,23549,304,1965
1246742,89204,1963,7933
2173621,74326,13817,19679
6705901,471760,14126,50744
4116378,13119,349,2394
9856767,201286,7805,10718
467983,41915,860,3679
79541,430,141,132
311937,9928,125,444
998296,40745,613,3934
288770,12220,687,1812
926121,39732,700,5527
580897,49373,589,2391
9779219,283197,6202,13116
1795369,115580,1081,8156
365523,22347,212,1096
166940,8124,289,679
567182,5387,401,583
100954,618,73,241
679693,19264,1438,1048
5514929,439189,4424,21011
855475,23255,706,4011
587048,35351,295,1236
581091,7318,2514,1877
52602,312,33,0
414431,20345,215,694
97375,3598,123,213
6066643,976120,4272,82380
128700,14662,140,1439
38057,759,74,81
610459,30692,448,1475
42399,1095,49,35
43202,540,25,67
99495,2837,148,461
78147,1591,217,197
198335,12338,94,422
374411,1959,820,1602
343860,6546,404,732
1329506,66170,608,66546
1839303,109122,1522,4115
126419,9064,106,448
461828,25387,1066,4818
233492,13899,467,1411
825470,34831,861,1950
925595,39452,766,5416
538348,38894,622,2561
433978,29936,522,1943
50157,5561,31,422
64813,3158,176,115
429721,14372,926,2272
361618,3239,77,133
1524361,79021,1063,4659
58760,4314,337,880
673143,35844,722,1801
800306,23559,3133,2977
797596,157975,438,6758
2259888,99803,1074,15766
156892,5863,144,288
987117,32742,1597,10123
24423,395,5,122
2758724,158996,4107,14663
440942,13096,558,821
2326348,64614,8599,9385
616420,23599,1233,3431
125328,6274,535,1080
330225,27807,122,1226
1315527,25054,8571,6564
602977,18336,214,1299
2056950,11386,5874,3500
52886,1537,123,869
1497824,38000,2200,1785
594612,34666,527,1025
862532,20024,907,6421
444789,4130,159,469
127525,1094,43,414
3560412,102520,2008,7054
68145,4410,115,541
34293,400,86,381
7108,587,5,57
484287,7792,150,342
2415668,162209,971,8678
1940520,50156,2652,10413
98092,4974,77,387
3545,18,3,1
135090,5554,342,931
247839,4145,117,298
2143149,99173,1129,5815
149074,469,198,92
74115,3793,35,94
3716275,43697,45910,12489
736587,42050,630,2466
12212,4,1,3
920,3,1,1
3748,6,0,0
84580,94,4,8
88932,4625,49,300
35082,1306,16,138
383830,23234,211,1686
732349,8729,182,455
1455500,35048,524,3808
63818,2080,91,543
14527,89,5,36
102941,6135,73,3930
291272,11130,792,2593
5258,433,1,30
328302,21299,214,948
33543,122,16,39
3390,9,0,1
41562,393,114,63
2421,10,0,0
55311,212,150,119
20464,10,103,17
38987,287,219,0
357376,27314,573,2192
15382,33,1,10
4759,40,2,13
1493983,166290,728,9262
2043,4,0,0
4843,387,13,27
163436,690,343,539
1357577,172690,1923,9445
117379,6934,98,886
612546,30139,527,1774
26621,2922,85,505
26473,2016,8,223
75397,4573,41,479
12984,1304,21,148
39467,2032,23,134
1000303,22849,1245,2914
79057,2048,81,89
44511,2086,39,377
415473,6763,542,1817
1002346,22250,2719,3116
766661,16842,637,767
804735,14588,2259,7459
175608,7612,103,1001
5893503,148741,11289,19616
2524854,95587,7892,22038
144514,170,26,101
4756676,236846,4695,14088
202092,11864,43,528
140792,2018,70,292
1616,16,1,1
70382,4691,92,907
380111,12095,128,643
535337,10633,786,2505
11849,5,0,0
27997,366,22,0
44810,2067,15,169
426730,15763,782,1259
124948,5933,50,640
44856,1731,678,881
897162,16551,1374,2966
260902,13029,245,634
522367,19504,238,6220
107919,1440,90,154
39720,2229,90,338
403685,11598,443,5861
207465,17136,152,2328
5159241,184500,7173,9875
147976,8826,244,351
225280,5770,150,1312
1579188,42376,5665,3543
3491,19,0,2
2819118,153395,2416,20573
1251577,28951,1146,2606
37376,2093,37,521
33761,149,45,222
429830,22885,141,3403
784937,4553,290,1478
230403,2413,581,2002
87403,285,128,175
338085,17626,167,1418
69170,2462,24,101
112866,3643,112,137
3987,100,4,15
11156,58,4,5
111077,567,38,102
9920833,262448,4684,35134
165139,3496,471,557
4575521,295650,5808,83065
1675419,12798,1558,1625
1174413,76342,698,7224
226800,2167,123,1137
1726301,21400,617,3152
601839,6424,184,536
18916,1425,28,180
214150,4262,535,753
19744,544,24,86
5620985,550027,10436,35849
703631,15716,849,2864
325569,12404,1024,1437
418595,4023,346,665
541017,18581,692,2455
1704485,30305,1461,2622
1891954,86481,879,8941
212132,15161,457,3444
38646917,1600400,68558,91398
66888,1098,427,313
1992282,10103,629,1971
1923973,138077,2830,10465
42224,823,96,175
291062,10211,445,635
267395,2439,1423,1435
446368,33965,512,4340
12776633,130537,11553,24010
458438,14738,361,806
2797467,148524,1585,4662
9421291,191296,4403,34456
29041,191,24,177
303310,26650,439,2134
16431,151,27,54
1743129,19277,2172,3881
372390,7993,408,547
2638137,91307,3043,12009
602682,47008,1491,4520
1923738,35159,843,5336
327482,5917,690,500
44805,1496,106,1098
13910,108,22,70
172546,8823,343,1287
95900,604,64,537
1647994,99765,2655,9056
1577521,15755,694,1892
2597587,83723,15686,21213
17627,193,238,390
8097332,505290,15357,55549
112443,594,197,179
4251667,14290,375,2600
10663409,210255,8458,11227
50934,1349,40,138
126248,763,93,286
366465,11098,152,472
332872,13117,759,1882
1101988,43550,674,3892
63719,1046,115,117
1126715,12919,1188,1248
67147,395,53,0
799867,57346,708,2922
741859,8604,599,2847
416327,24167,249,1150
199206,9193,335,728
989954,41261,734,5622
10729515,300465,6613,13980
1875686,118922,1122,8233
614887,5594,448,597
151602,15327,164,1493
978535,25073,772,4344
5889680,458893,4635,22510
58233,1449,66,45
720203,19850,1517,1073
775185,40873,348,1360
124901,3939,147,229
786977,34409,518,1550
619920,7604,2603,1969
456234,21148,226,716
6674015,1003201,4600,84010
158953,9980,125,500
51678,632,29,77
507616,31774,571,2018
300653,14228,123,768
389849,2001,828,1628
2329130,122211,1742,4400
209701,12859,98,426
1373834,67021,640,66879
617423,40618,665,2667
533644,26802,1126,4976
98684,1714,235,244
279611,14937,533,1371
866709,35710,882,1952
1091211,43213,820,5980
70307,3339,188,121
456680,14799,977,2317
701536,36320,734,1813
910217,167996,489,6990
